[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1201241390.953000 1/25/2008, 3:09:50 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, Pr(Ru0.90Rh0.10)4P12
INFO, WEIGHT, 275.200
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Sample lot No.2
INFO, SEQUENCE FILE: Rh_doped.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1201241390.953,,1.000000e+003,2.003690e+000,2.252852e-002,3.640434e-006,3,9.796095e-001,1.615922e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.828049e-003,0.000000e+000,0,,0,
1201242757.843,,1.000000e+003,5.996077e+000,1.886540e-002,3.217649e-006,3,9.798272e-001,1.705582e-002,,,,,,,,,,,,,,32,2,4.000000e+000,4.761219e-003,0.000000e+000,0,,0,
1201244081.781,,1.000000e+003,1.000068e+001,1.609423e-002,1.600264e-006,3,9.799269e-001,9.943089e-003,,,,,,,,,,,,,,32,2,4.000000e+000,8.055687e-003,0.000000e+000,0,,0,
1201244240.640,,1.000000e+003,1.399941e+001,1.376461e-002,7.079357e-007,3,9.799948e-001,5.143157e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.019997e-003,0.000000e+000,0,,0,
1201244403.875,,1.000000e+003,1.796862e+001,1.195064e-002,2.137635e-006,3,9.800808e-001,1.788720e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.698112e-002,0.000000e+000,0,,0,
1201244573.671,,1.000000e+003,2.193834e+001,1.054455e-002,1.665459e-006,3,9.801402e-001,1.579450e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.213074e-002,0.000000e+000,0,,0,
1201244753.218,,1.000000e+003,2.591024e+001,9.440860e-003,1.942717e-007,3,9.802433e-001,2.057776e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.453064e-002,0.000000e+000,0,,0,
1201244937.609,,1.000000e+003,2.989078e+001,8.561464e-003,3.694441e-007,3,9.803299e-001,4.315197e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.150391e-003,0.000000e+000,0,,0,
1201245132.921,,1.000000e+003,3.386163e+001,7.843515e-003,7.764243e-007,3,9.805082e-001,9.898933e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.369095e-002,0.000000e+000,0,,0,
1201245343.468,,1.000000e+003,3.783279e+001,7.243126e-003,2.351004e-007,3,9.806287e-001,3.245841e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.866150e-002,0.000000e+000,0,,0,
1201245564.906,,1.000000e+003,4.180322e+001,6.733429e-003,2.835036e-007,3,9.808252e-001,4.210390e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.890060e-002,0.000000e+000,0,,0,
1201245804.593,,1.000000e+003,4.577222e+001,6.289370e-003,7.704971e-008,3,9.809976e-001,1.225078e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.148987e-002,0.000000e+000,0,,0,
1201246019.562,,1.000000e+003,4.974801e+001,5.906081e-003,6.223333e-008,3,9.810619e-001,1.053716e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.141998e-002,0.000000e+000,0,,0,
